group	tag	method	path	path_html	app	controller	action	auth	auth_required	desc	contract	file	line
B2-jobs	SYSTEM_TASK	POST	/api/system/XdataSummary	/api/system/XdataSummary.html	api	System	XdataSummary	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/xdatasummary.md	app/api/controller/System.php	997
B2-jobs	SYSTEM_TASK	UNKNOWN	/api/system/alert_push	/api/system/alert_push.html	api	System	alert_push	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/alert_push.md	app/api/controller/System.php	1147
B2-jobs	SYSTEM_TASK	UNKNOWN	/api/system/cleanDb	/api/system/cleanDb.html	api	System	cleanDb	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/cleandb.md	app/api/controller/System.php	175
B2-jobs	SYSTEM_TASK	UNKNOWN	/api/system/invalid_tour	/api/system/invalid_tour.html	api	System	invalid_tour	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/invalid_tour.md	app/api/controller/System.php	1313
B2-jobs	SYSTEM_TASK	UNKNOWN	/api/system/notification	/api/system/notification.html	api	System	notification	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/notification.md	app/api/controller/System.php	1233
B2-jobs	SYSTEM_TASK	UNKNOWN	/api/system/queryArea	/api/system/queryArea.html	api	System	queryArea	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/queryarea.md	app/api/controller/System.php	493
B2-jobs	SYSTEM_TASK	UNKNOWN	/api/system/remake	/api/system/remake.html	api	System	remake	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/remake.md	app/api/controller/System.php	541
B2-jobs	SYSTEM_TASK	UNKNOWN	/api/system/remake_lxs	/api/system/remake_lxs.html	api	System	remake_lxs	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/remake_lxs.md	app/api/controller/System.php	823
B2-jobs	SYSTEM_TASK	UNKNOWN	/api/system/remake_ticket	/api/system/remake_ticket.html	api	System	remake_ticket	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/remake_ticket.md	app/api/controller/System.php	1319
B2-jobs	SYSTEM_TASK	POST	/api/system/rollback_remain_count	/api/system/rollback_remain_count.html	api	System	rollback_remain_count	api-token(Userid)	no	回滚消费券剩余数量	docs/rewrite/contracts/p0/api/system/rollback_remain_count.md	app/api/controller/System.php	31
B2-jobs	SYSTEM_TASK	UNKNOWN	/api/system/rollback_remain_count_extend	/api/system/rollback_remain_count_extend.html	api	System	rollback_remain_count_extend	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/rollback_remain_count_extend.md	app/api/controller/System.php	94
B2-jobs	SYSTEM_TASK	UNKNOWN	/api/system/rollback_set_data	/api/system/rollback_set_data.html	api	System	rollback_set_data	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/rollback_set_data.md	app/api/controller/System.php	62
B2-jobs	SYSTEM_TASK	POST	/api/system/set_tour_invalid	/api/system/set_tour_invalid.html	api	System	set_tour_invalid	api-token(Userid)	no	团状态等于确认团且不能是无效团的，团期超过当前时间 没有游客  没有导游 没有领券的 将团设置无效	docs/rewrite/contracts/p0/api/system/set_tour_invalid.md	app/api/controller/System.php	124
B2-jobs	SYSTEM_TASK	UNKNOWN	/api/system/tableTohtml	/api/system/tableTohtml.html	api	System	tableTohtml	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/tabletohtml.md	app/api/controller/System.php	229
B2-jobs	SYSTEM_TASK	UNKNOWN	/api/system/tableTohtml1	/api/system/tableTohtml1.html	api	System	tableTohtml1	api-token(Userid)	no		docs/rewrite/contracts/p0/api/system/tabletohtml1.md	app/api/controller/System.php	373
